Whole Person Physiome Table for Urinary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Brenner & Rector’s The Kidney, 11th Edition (2020)","Mulroney & Myers, Netter’s Essential Physiology","High-Yield Physiology, 1st edition. Dudek, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,9/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in FunctionNotes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,FunctionNotes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Bicarbonate reabsorption,bicarbonate transport,GO:0015701,,,,,,,,,,,,,"~80% PT, 15% TALH, 5% CD; role of CA",Filtered HCO₃⁻ reclaimed via luminal CA reaction and basolateral transport: Lumina tubular epithelial cell catalyzes filtered HCO₃⁻ into CO₂,Tissue,kidney,kidney,UBERON:0002113,renal tubule,renal tubule,UBERON:0009773,,does,X conversion to Y,HCO₃⁻,CO₂,,,Molecular,hours,Plasma HCO₃⁻ (mEq/L),Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,Blood pH,pH of Blood,11558-4,,,,Respiratory (CO₂),,,RAAS (Ang II ↑ NHE3),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"18, 21",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Bicarbonate reabsorption,bicarbonate transport,GO:0015701,,,,,,,,,,,,,,Filtered HCO₃⁻ reclaimed via luminal CA reaction and basolateral transport: Basolateral NBCe1 (Na⁺/HCO₃⁻ cotransporter) increases plasma HCO₃⁻ (reclamation),Tissue,kidney,kidney,UBERON:0002113,renal tubule,renal tubule,UBERON:0009773,,increases,X transport to Y,HCO₃⁻,plasma,,,Cellular,hours,Plasma HCO₃⁻ (mEq/L),Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,Blood pH,pH of Blood,11558-4,,,,Respiratory (CO₂),,,RAAS (Ang II ↑ NHE3),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"18, 21",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Bicarbonate reabsorption,bicarbonate transport,GO:0015701,,,,,,,,,,,,,,Filtered HCO₃⁻ reclaimed via luminal CA reaction and basolateral transport: Intracellular CA enzyme regenerates intracellular HCO₃⁻,Tissue,kidney,kidney,UBERON:0002113,renal tubule,renal tubule,UBERON:0009773,,does,X regeneration,intracellular HCO₃⁻ ,,,,Cellular,hours,Plasma HCO₃⁻ (mEq/L),Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,Urinary HCO₃⁻,Bicarbonate [Measurement] in Urine,110408-2,Blood pH,pH of Blood,11558-4,,,,Respiratory (CO₂),,,RAAS (Ang II ↑ NHE3),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"18, 21",,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,H⁺ secretion & HCO₃⁻ secretion,,,,,,,,,,,,,,,Urine pH floor ~4.4; TA & NH₄⁺ pathways,"α-IC: H⁺ secretion (H⁺-ATPase, H⁺/K⁺-ATPase): α-IC secretes H⁺ via H⁺-ATPase and H⁺/K⁺-ATPase",Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X secretion,H⁺,,,,Cellular,hours,Urinary pH,pH of Urine,2756-5,Titratable acidity (mmol/d),Acidity.titratable [Measurement] in Urine,110318-3,Ammonium excretion (mmol/d),Fractional excretion of urea [Ratio] in Urine and Serum or Plasma collected for unspecified duration,59009-1,,,,Respiratory (CO₂),,,Phosphate buffer,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,H⁺ secretion & HCO₃⁻ secretion,,,,,,,,,,,,,,,,β-IC: HCO₃⁻ secretion: β-IC secretes HCO₃⁻,Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,,does,X secretion,HCO₃⁻,,,,Cellular,hours,Urinary pH,pH of Urine,2756-5,Titratable acidity (mmol/d),Acidity.titratable [Measurement] in Urine,110318-3,Ammonium excretion (mmol/d),Fractional excretion of urea [Ratio] in Urine and Serum or Plasma collected for unspecified duration,59009-1,,,,Respiratory (CO₂),,,Phosphate buffer,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Phosphate buffering,,,Titratable acid,,,,,,,,,,,,Key titratable acid pathway,H⁺ binds filtered HPO₄²⁻ → H₂PO₄⁻: H⁺ + HPO₄²⁻ forms H₂PO₄⁻,Cell,Collecting duct,kidney collecting duct epithelium,UBERON:0014388,kidney collecting duct epithelial cell,kidney collecting duct epithelial cell,CL:1000454,HPO₄²⁻,does,X formation to Y,H⁺ + HPO₄²⁻,H₂PO₄⁻,,Intra-organ,Molecular,hours,Urinary phosphate,Triple phosphate [Saturation Fraction] in 24 hour Urine,53811-6,Titratable acidity,Acidity.titratable [Measurement] in Urine,110318-3,Urine pH,pH of Urine,2756-5,,,,Acid secretion,,,Bone phosphate stores,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Ammoniagenesis,regulation of ammonia assimilation cycle,GO:2001248,,,,,,,,,,,,,Main adaptive response to acidosis,Glutamine metabolism in PT generates NH₄⁺ and new HCO₃⁻: Glutamine metabolism in PT generates NH₄⁺,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal straight tubule epithelial cell,CL:1000839,glutamine,does,X generation,NH₄⁺,,,Intra-organ,Segmental (intra-organ),hours-days,Urinary NH₄⁺,Ammonium [Presence] in Stone,14599-5,Urinary net acid excretion,Fractional excretion of urea [Ratio] in Urine and Serum or Plasma collected for unspecified duration,59009-1,Plasma bicarbonate,Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,,,,Acid–base,,,Resp compensation,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Ammoniagenesis,regulation of ammonia assimilation cycle,GO:2001248,,,,,,,,,,,,,,Glutamine metabolism in PT generates NH₄⁺ and new HCO₃⁻: Glutamine metabolism in PT generates new HCO₃⁻,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal straight tubule epithelial cell,CL:1000839,glutamine,does,X generation,HCO₃⁻,,,Intra-organ,Segmental (intra-organ),hours-days,Urinary NH₄⁺,Ammonium [Presence] in Stone,14599-5,Urinary net acid excretion,Fractional excretion of urea [Ratio] in Urine and Serum or Plasma collected for unspecified duration,59009-1,Plasma bicarbonate,Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,,,,Acid–base,,,Resp compensation,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,Acid–base,renal absorption,GO:0070293,Bicarbonate regeneration,,,,,,,,,,,,,,,New bicarbonate formation,New HCO₃⁻ generated via NH₄⁺ excretion: NH₄⁺ excretion generates new HCO₃⁻,Cell,proximal straight tubule,proximal straight tubule,UBERON:0001290,kidney proximal straight tubule epithelial cell,kidney proximal straight tubule epithelial cell,CL:1000839,NH₄⁺,does,X generation,HCO₃⁻,,,Intra-organ,Segmental (intra-organ),hours-days,Plasma bicarbonate,Deprecated Bicarbonate [Moles/volume] in Plasma,1962-0,Net acid excretion,Fractional excretion of urea [Ratio] in Urine and Serum or Plasma collected for unspecified duration,59009-1,Blood pH,pH of Blood,11558-4,,,,Resp,,,GI buffering,,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,21,,,,,,,,,
urinary system,renal system process,GO:0003014,Homeostasis,homeostatic process,GO:0042592,BP regulation,renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,GO:0001999,Renin secretion (RAAS),renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,GO:0001999,,,,,,,,,,,,,"TGF, baroreceptor, sympathetic control of renin",Macula densa NaCl sensing; JG cell renin release: Macula densa senses NaCl,Cell,juxtaglomerular apparatus,juxtaglomerular apparatus,UBERON:0002303,Macula densa cells,macula densa epithelial cell,CL:1000850,,does,X sensation,NaCl,,,,Segmental (intra-organ),minutes,Plasma renin activity,Complement functional activity [Units/volume] in Serum or Plasma by Immunoassay,58462-3,BP (mmHg),First Blood pressure Set,18684-1,Serum aldosterone,Aldosterone [Measurement] in Serum or Plasma,110770-5,,,,Cardiovascular (BP),,,Endocrine (Aldosterone),,,,,,,,,"Mulroney & Myers, Netter’s Essential Physiology",ISBN 978-0-323-69463-8,"17, 20",,,,,,,,,
